# The numbers represent measurements on different aperatus
#AppNo  Measurements
01      -0.080205:-0.071502:-0.070708:-0.080434:-0.087834:-0.087059:-0.073333
02      -0.092040:-0.084453:-0.089838:-0.074817:-0.087401:-0.085688:-0.079274
03      -0.047785:-0.059884:-0.043223:-0.046405:-0.039892:-0.056648:-0.038024
04      -0.078127:-0.076070:-0.073499:-0.070275:-0.095670:-0.084568:-0.086034
05      -0.097772:-0.095509:-0.094938:-0.083170:-0.091056:-0.079058:-0.093192
06      -0.088233:-0.073692:-0.071878:-0.097121:-0.068203:-0.074581:-0.072862
07      -0.085642:-0.092640:-0.091327:-0.068414:-0.068995:-0.077202:-0.091451
08      -0.082135:-0.085824:-0.096185:-0.093999:-0.075021:-0.096809:-0.076892
09      -0.070742:-0.091830:-0.080604:-0.082783:-0.090456:-0.094030:-0.082654
10      -0.096192:-0.067695:-0.071736:-0.085504:-0.073338:-0.093731:-0.067064
11      -0.092437:-0.076890:-0.066728:-0.074878:-0.095612:-0.081300:-0.093907
12      -0.071692:-0.094910:-0.068133:-0.077872:-0.081097:-0.067745:-0.069103
13      -0.080563:-0.089966:-0.096798:-0.067074:-0.096077:-0.080645:-0.066679
14      -0.097784:-0.093293:-0.088231:-0.071401:-0.095790:-0.074848:-0.068040
